i,j,proj,proj_prime,defect,sign
11,22,0,0,0,-1
22,11,0,0,0,-1
11,25,0,0,0,-1
25,11,0,0,0,-1
11,28,0,2,2,-1
28,11,2,0,1,-1
11,32,2,0,1,-1
32,11,0,0,0,-1
11,35,0,2,2,-1
35,11,0,0,0,-1
11,38,2,0,1,-1
38,11,0,2,2,-1
12,15,0,2,2,-1
15,12,2,0,1,-1
12,18,0,0,0,-1
18,12,0,0,0,-1
12,21,0,0,0,-1
21,12,2,2,0,-1
12,23,0,0,0,-1
23,12,0,0,0,-1
12,26,0,0,0,-1
26,12,2,2,0,-1
12,29,0,2,2,-1
29,12,0,0,0,-1
12,31,0,0,0,-1
31,12,0,0,0,-1
12,34,2,2,0,-1
34,12,0,0,0,-1
12,37,0,0,0,-1
37,12,0,0,0,-1
13,14,0,0,0,-1
14,13,0,0,0,-1
13,15,0,0,0,-1
15,13,2,0,1,-1
13,22,2,0,1,-1
22,13,0,2,2,-1
13,23,0,0,0,-1
23,13,0,0,0,-1
13,24,2,0,1,-1
24,13,0,0,0,-1
13,31,2,0,1,-1
31,13,0,0,0,-1
13,32,2,2,0,-1
32,13,0,0,0,-1
13,33,0,0,0,-1
33,13,0,0,0,-1
14,15,0,0,0,-1
15,14,2,0,1,-1
14,25,0,0,0,-1
25,14,0,0,0,-1
14,26,0,0,0,-1
26,14,0,0,0,-1
14,27,2,0,1,-1
27,14,0,0,0,-1
14,37,0,0,0,-1
37,14,0,0,0,-1
14,38,0,2,2,-1
38,14,0,0,0,-1
14,39,2,2,0,-1
39,14,0,0,0,-1
15,28,0,0,0,-1
28,15,0,0,0,-1
15,29,2,2,0,-1
29,15,0,0,0,-1
15,30,0,2,2,-1
30,15,0,0,0,-1
15,34,0,0,0,-1
34,15,0,2,2,-1
15,35,2,0,1,-1
35,15,0,2,2,-1
15,36,0,0,0,-1
36,15,0,0,0,-1
16,17,0,0,0,-1
17,16,0,0,0,-1
16,18,0,0,0,-1
18,16,0,2,2,-1
16,25,0,0,0,-1
25,16,0,0,0,-1
16,26,2,0,1,-1
26,16,0,0,0,-1
16,27,2,0,1,-1
27,16,0,0,0,-1
16,34,0,0,0,-1
34,16,0,0,0,-1
16,35,0,0,0,-1
35,16,0,0,0,-1
16,36,2,0,1,-1
36,16,0,0,0,-1
17,18,0,0,0,-1
18,17,0,2,2,-1
17,28,0,0,0,-1
28,17,0,0,0,-1
17,29,0,0,0,-1
29,17,0,0,0,-1
17,30,0,2,2,-1
30,17,0,0,0,-1
17,31,0,2,2,-1
31,17,0,0,0,-1
17,32,0,0,0,-1
32,17,0,0,0,-1
17,33,0,0,0,-1
33,17,0,0,0,-1
18,22,0,2,2,-1
22,18,0,0,0,-1
18,23,0,0,0,-1
23,18,0,0,0,-1
18,24,0,0,0,-1
24,18,0,0,0,-1
18,37,0,0,0,-1
37,18,0,0,0,-1
18,38,0,2,2,-1
38,18,0,0,0,-1
18,39,0,2,2,-1
39,18,0,0,0,-1
19,20,2,2,0,-1
20,19,0,0,0,-1
19,21,2,2,0,-1
21,19,0,0,0,-1
19,28,0,0,0,-1
28,19,0,0,0,-1
19,29,2,0,1,-1
29,19,0,0,0,-1
19,30,2,2,0,-1
30,19,0,0,0,-1
19,37,0,0,0,-1
37,19,0,0,0,-1
19,38,0,2,2,-1
38,19,0,0,0,-1
19,39,2,0,1,-1
39,19,0,0,0,-1
20,21,0,0,0,-1
21,20,0,0,0,-1
20,22,0,2,2,-1
22,20,0,0,0,-1
20,23,0,0,0,-1
23,20,0,0,0,-1
20,24,0,0,0,-1
24,20,0,0,0,-1
20,34,2,0,1,-1
34,20,0,0,0,-1
20,35,0,2,2,-1
35,20,0,0,0,-1
20,36,0,0,0,-1
36,20,2,0,1,-1
21,25,0,0,0,-1
25,21,0,0,0,-1
21,26,2,2,0,-1
26,21,0,0,0,-1
21,27,0,2,2,-1
27,21,0,0,0,-1
21,31,2,2,0,-1
31,21,0,0,0,-1
21,32,0,0,0,-1
32,21,0,0,0,-1
21,33,0,2,2,-1
33,21,0,0,0,-1
22,27,0,0,0,-1
27,22,0,0,0,-1
22,29,0,0,0,-1
29,22,2,0,1,-1
22,31,0,0,0,-1
31,22,0,2,2,-1
22,36,0,0,0,-1
36,22,2,0,1,-1
22,38,0,0,0,-1
38,22,2,0,1,-1
23,25,0,0,0,-1
25,23,0,0,0,-1
23,30,0,0,0,-1
30,23,2,0,1,-1
23,33,0,0,0,-1
33,23,0,0,0,-1
23,35,0,0,0,-1
35,23,0,2,2,-1
23,37,0,0,0,-1
37,23,0,0,0,-1
24,26,0,2,2,-1
26,24,0,0,0,-1
24,28,0,0,0,-1
28,24,0,2,2,-1
24,32,0,2,2,-1
32,24,0,0,0,-1
24,34,0,0,0,-1
34,24,0,0,0,-1
24,39,0,2,2,-1
39,24,0,0,0,-1
25,30,0,0,0,-1
30,25,2,0,1,-1
25,32,0,0,0,-1
32,25,2,0,1,-1
25,34,0,0,0,-1
34,25,0,0,0,-1
25,39,0,0,0,-1
39,25,0,2,2,-1
26,28,0,0,0,-1
28,26,0,0,0,-1
26,31,0,0,0,-1
31,26,0,0,0,-1
26,36,0,0,0,-1
36,26,0,2,2,-1
26,38,0,0,0,-1
38,26,0,2,2,-1
27,29,0,0,0,-1
29,27,2,0,1,-1
27,33,0,0,0,-1
33,27,0,0,0,-1
27,35,0,2,2,-1
35,27,2,0,1,-1
27,37,0,0,0,-1
37,27,2,0,1,-1
28,33,0,2,2,-1
33,28,0,0,0,-1
28,35,0,0,0,-1
35,28,0,0,0,-1
28,37,0,0,0,-1
37,28,0,2,2,-1
29,32,0,0,0,-1
32,29,0,0,0,-1
29,34,0,2,2,-1
34,29,2,0,1,-1
29,39,0,0,0,-1
39,29,0,0,0,-1
30,31,0,0,0,-1
31,30,2,0,1,-1
30,36,0,2,2,-1
36,30,0,0,0,-1
30,38,0,0,0,-1
