edgepair_id,gen,edgepair_image,flip_Z2,rot_Z3
82,7,85,0,0
82,8,106,0,0
82,9,106,0,0
83,0,70,0,0
83,1,119,0,0
83,2,81,0,0
83,3,92,0,0
83,4,88,0,0
83,5,50,0,0
83,6,38,1,0
83,7,86,0,0
83,8,107,0,0
83,9,107,0,0
84,0,83,1,0
84,1,31,0,0
84,2,85,0,0
84,3,66,0,0
84,4,74,1,0
84,5,116,0,0
84,6,32,0,0
84,7,105,0,0
84,8,111,0,0
84,9,111,0,0
85,0,99,1,0
85,1,34,0,0
85,2,86,0,0
85,3,67,0,0
85,4,55,1,0
85,5,114,0,0
85,6,82,1,0
85,7,106,0,0
85,8,112,0,0
85,9,112,0,0
86,0,35,0,0
86,1,37,0,0
86,2,84,0,0
86,3,68,0,0
86,4,117,1,0
86,5,115,0,0
86,6,101,1,0
86,7,107,0,0
86,8,113,0,0
86,9,113,0,0
87,0,37,1,0
87,1,30,0,0
87,2,88,0,0
87,3,69,0,0
87,4,113,1,0
87,5,117,0,0
87,6,96,0,0
87,7,102,0,0
87,8,117,0,0
87,9,117,0,0
88,0,75,1,0
88,1,33,0,0
88,2,89,0,0
88,3,70,0,0
88,4,66,1,0
88,5,118,0,0
88,6,34,1,0
88,7,103,0,0
88,8,118,0,0
88,9,118,0,0
89,0,97,0,0
89,1,36,0,0
89,2,87,0,0
89,3,71,0,0
89,4,49,1,0
89,5,119,0,0
89,6,77,1,0
89,7,104,0,0
89,8,119,0,0
89,9,119,0,0
90,0,95,1,0
90,1,32,0,0
90,2,91,0,0
90,3,72,0,0
90,4,52,0,0
90,5,112,0,0
90,6,78,0,0
90,7,108,0,0
90,8,114,0,0
90,9,114,0,0
91,0,30,1,0
91,1,35,0,0
91,2,92,0,0
91,3,73,0,0
91,4,115,0,0
91,5,113,0,0
91,6,94,1,0
91,7,109,0,0
91,8,115,0,0
91,9,115,0,0
92,0,79,0,0
92,1,38,0,0
92,2,90,0,0
92,3,74,0,0
92,4,70,0,0
92,5,111,0,0
92,6,36,1,0
92,7,110,0,0
92,8,116,0,0
92,9,116,0,0
93,0,116,1,0
93,1,99,0,0
93,2,94,0,0
93,3,102,0,0
93,4,118,1,0
93,5,97,0,0
93,6,21,0,0
93,7,21,0,0
93,8,66,0,0
93,9,66,0,0
94,0,78,1,0
94,1,100,0,0
94,2,95,0,0
94,3,103,0,0
94,4,72,1,0
94,5,98,0,0
94,6,115,1,0
94,7,24,0,0
94,8,67,0,0
94,9,67,0,0
95,0,24,0,0
95,1,101,0,0
95,2,93,0,0
95,3,104,0,0
95,4,56,1,0
95,5,96,0,0
95,6,80,1,0
95,7,27,0,0
95,8,68,0,0
95,9,68,0,0
96,0,77,1,0
96,1,93,0,0
96,2,97,0,0
96,3,105,0,0
96,4,67,1,0
96,5,100,0,0
96,6,117,0,0
96,7,23,0,0
96,8,72,0,0
96,9,72,0,0
