u,v,gen,exp,qid_u,qid_v,twin_u,twin_v,x_u,y_u,z_u,x_v,y_v,z_v,core_intersection_u_v
21,42,g5,0,12,14,0,1,1,0,0,0,1,2,2
21,6,g8,0,12,7,0,1,1,0,0,2,2,2,3
21,6,g9,0,12,7,0,1,1,0,0,2,2,2,3
22,37,g2,0,23,18,1,1,0,2,0,0,2,2,3
22,20,g3,1,23,12,1,1,0,2,0,1,0,0,3
22,43,g5,0,23,19,1,0,0,2,0,2,0,0,1
22,44,g8,0,23,5,1,1,0,2,0,0,0,2,2
22,44,g9,0,23,5,1,1,0,2,0,0,0,2,2
23,32,g2,2,26,20,0,0,1,2,0,1,2,2,3
23,13,g3,1,26,13,0,0,1,2,0,1,2,1,3
23,1,g5,0,26,5,0,0,1,2,0,0,0,2,1
23,25,g8,0,26,19,0,1,1,2,0,2,0,0,3
23,25,g9,0,26,19,0,1,1,2,0,2,0,0,3
24,38,g2,0,4,1,1,1,1,1,1,1,1,0,3
24,44,g3,0,4,5,1,1,1,1,1,0,0,2,3
24,8,g5,0,4,23,1,0,1,1,1,0,2,0,1
24,7,g8,0,4,17,1,1,1,1,1,2,1,2,2
24,7,g9,0,4,17,1,1,1,1,1,2,1,2,2
25,33,g2,2,19,9,1,1,2,0,0,2,0,2,3
25,15,g3,1,19,21,1,1,2,0,0,2,0,1,3
25,24,g5,0,19,4,1,1,2,0,0,1,1,1,1
25,23,g8,0,19,26,1,0,2,0,0,1,2,0,3
25,23,g9,0,19,26,1,0,2,0,0,1,2,0,3
26,39,g2,0,24,17,0,0,2,1,0,2,1,2,3
26,4,g3,0,24,11,0,0,2,1,0,0,2,1,3
26,45,g5,0,24,13,0,1,2,1,0,1,2,1,1
26,9,g8,0,24,2,0,0,2,1,0,1,1,2,3
26,9,g9,0,24,2,0,0,2,1,0,1,1,2,3
27,40,g2,0,15,14,0,0,0,1,0,0,1,2,3
27,46,g3,0,15,25,0,1,0,1,0,0,1,1,3
27,2,g5,0,15,3,0,0,0,1,0,2,2,0,2
27,29,g8,0,15,15,0,1,0,1,0,0,1,0,6
27,29,g9,0,15,15,0,1,0,1,0,0,1,0,6
28,41,g2,0,3,7,1,0,2,2,0,2,2,2,3
28,14,g3,2,3,2,1,1,2,2,0,1,1,2,3
28,11,g5,0,3,16,1,0,2,2,0,1,0,1,2
28,10,g8,0,3,16,1,1,2,2,0,1,0,1,2
28,10,g9,0,3,16,1,1,2,2,0,1,0,1,2
29,42,g2,0,15,14,1,1,0,1,0,0,1,2,3
29,47,g3,0,15,25,1,0,0,1,0,0,1,1,3
29,28,g5,0,15,3,1,1,0,1,0,2,2,0,2
29,27,g8,0,15,15,1,0,0,1,0,0,1,0,6
29,27,g9,0,15,15,1,0,0,1,0,0,1,0,6
30,43,g2,0,21,19,0,0,2,0,1,2,0,0,3
30,48,g3,0,21,9,0,0,2,0,1,2,0,2,3
30,9,g5,2,21,2,0,0,2,0,1,1,1,2,1
30,45,g8,2,21,13,0,1,2,0,1,1,2,1,3
30,45,g9,2,21,13,0,1,2,0,1,1,2,1,3
31,44,g2,0,0,5,1,1,0,0,0,0,0,2,3
31,28,g3,1,0,3,1,1,0,0,0,2,2,0,3
31,26,g5,2,0,24,1,0,0,0,0,2,1,0,1
31,12,g8,0,0,11,1,1,0,0,0,0,2,1,2
31,12,g9,0,0,11,1,1,0,0,0,0,2,1,2
32,13,g2,1,20,13,0,0,1,2,2,1,2,1,3
32,23,g3,2,20,26,0,0,1,2,2,1,2,0,3
32,5,g5,1,20,8,0,1,1,2,2,0,0,1,1
32,33,g8,0,20,9,0,1,1,2,2,2,0,2,3
32,33,g9,0,20,9,0,1,1,2,2,2,0,2,3
33,15,g2,1,9,21,1,1,2,0,2,2,0,1,3
33,25,g3,2,9,19,1,1,2,0,2,2,0,0,3
33,38,g5,1,9,1,1,1,2,0,2,1,1,0,1
33,32,g8,0,9,20,1,0,2,0,2,1,2,2,3
33,32,g9,0,9,20,1,0,2,0,2,1,2,2,3
34,9,g2,0,1,2,0,0,1,1,0,1,1,2,3
34,5,g3,0,1,8,0,1,1,1,0,0,0,1,3
34,37,g5,1,1,18,0,1,1,1,0,0,2,2,1
34,49,g8,0,1,10,0,0,1,1,0,2,1,1,3
34,49,g9,0,1,10,0,0,1,1,0,2,1,1,3
35,10,g2,0,22,16,1,1,1,0,2,1,0,1,3
35,17,g3,2,22,10,1,1,1,0,2,2,1,1,3
35,46,g5,2,22,25,1,1,1,0,2,0,1,1,2
35,50,g8,0,22,6,1,1,1,0,2,2,2,1,2
35,50,g9,0,22,6,1,1,1,0,2,2,2,1,2
36,11,g2,0,22,16,0,0,1,0,2,1,0,1,3
36,49,g3,0,22,10,0,0,1,0,2,2,1,1,3
36,47,g5,2,22,25,0,0,1,0,2,0,1,1,2
