cycle_id,cycle_len,pos,root,image
26,6,0,"(-1, -2, -3, -4, -4, -3, -2, -1)","(2, 3, 4, 6, 5, 3, 2, 1)"
26,6,1,"(2, 3, 4, 6, 5, 3, 2, 1)","(1, 1, 2, 2, 1, 1, 1, 0)"
26,6,2,"(1, 1, 2, 2, 1, 1, 1, 0)","(-2, -3, -4, -6, -5, -4, -2, -1)"
26,6,3,"(-2, -3, -4, -6, -5, -4, -2, -1)","(0, 0, -1, -1, 0, 0, 0, 0)"
26,6,4,"(0, 0, -1, -1, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1, 0, 0)"
26,6,5,"(1, 1, 1, 1, 1, 1, 0, 0)","(-1, -2, -3, -4, -4, -3, -2, -1)"
27,6,0,"(-1, 0, -1, -1, -1, -1, -1, -1)","(0, 1, 1, 1, 0, 0, 0, 0)"
27,6,1,"(0, 1, 1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, -1, 0)"
27,6,2,"(0, 0, 0, 0, 0, 0, -1, 0)","(0, 1, 1, 1, 1, 1, 0, 0)"
27,6,3,"(0, 1, 1, 1, 1, 1, 0, 0)","(1, 1, 2, 3, 3, 2, 1, 1)"
27,6,4,"(1, 1, 2, 3, 3, 2, 1, 1)","(1, 0, 1, 1, 1, 1, 0, 0)"
27,6,5,"(1, 0, 1, 1, 1, 1, 0, 0)","(-1, 0, -1, -1, -1, -1, -1, -1)"
28,6,0,"(-1, 0, -1, -1, -1, -1, -1, 0)","(1, 1, 2, 2, 2, 2, 1, 1)"
28,6,1,"(1, 1, 2, 2, 2, 2, 1, 1)","(-1, -1, -2, -3, -3, -2, -1, -1)"
28,6,2,"(-1, -1, -2, -3, -3, -2, -1, -1)","(-1, 0, -1, -1, -1, -1, 0, 0)"
28,6,3,"(-1, 0, -1, -1, -1, -1, 0, 0)","(1, 0, 1, 1, 1, 1, 1, 1)"
28,6,4,"(1, 0, 1, 1, 1, 1, 1, 1)","(1, 2, 3, 4, 3, 2, 1, 1)"
28,6,5,"(1, 2, 3, 4, 3, 2, 1, 1)","(-1, 0, -1, -1, -1, -1, -1, 0)"
29,6,0,"(-1, 0, 0, 0, 0, 0, 0, 0)","(1, 2, 2, 3, 3, 3, 2, 1)"
29,6,1,"(1, 2, 2, 3, 3, 3, 2, 1)","(1, 1, 1, 1, 1, 1, 1, 0)"
