u,qid,twin_bit,gen,cocycle_Z3_exp,orient_index,target_qid,target_twin,v,sheet_id
31,0,1,g5,2,7,12,1,26,3
31,0,1,g8,0,8,19,1,12,3
31,0,1,g9,0,9,19,1,12,3
32,25,0,g2,1,0,22,0,13,3
32,25,0,g3,2,1,24,0,23,3
32,25,0,g5,1,2,6,0,5,3
32,25,0,g8,0,3,17,0,33,3
32,25,0,g9,0,4,17,0,33,3
33,17,0,g2,1,0,9,0,15,4
33,17,0,g3,2,1,23,0,25,4
33,17,0,g5,1,2,1,1,38,4
33,17,0,g8,0,3,25,0,32,4
33,17,0,g9,0,4,25,0,32,4
34,1,0,g2,0,0,2,0,9,3
34,1,0,g3,0,1,6,0,5,3
34,1,0,g5,1,2,21,1,37,3
34,1,0,g8,0,3,18,1,49,3
34,1,0,g9,0,4,18,1,49,3
35,10,0,g2,0,0,15,0,10,4
35,10,0,g3,2,1,18,0,17,4
35,10,0,g5,2,2,13,0,46,4
35,10,0,g8,0,3,8,1,50,4
35,10,0,g9,0,4,8,1,50,4
36,10,1,g2,0,5,15,1,11,4
36,10,1,g3,0,6,18,1,49,4
36,10,1,g5,2,7,13,1,47,4
36,10,1,g8,0,8,8,0,16,4
36,10,1,g9,0,9,8,0,16,4
37,21,1,g2,0,5,19,1,12,3
37,21,1,g3,1,6,10,0,35,3
37,21,1,g5,2,7,17,1,48,3
37,21,1,g8,0,8,6,1,51,3
37,21,1,g9,0,9,6,1,51,3
38,1,1,g2,0,5,2,1,14,4
38,1,1,g3,0,6,6,1,51,4
38,1,1,g5,0,7,21,0,18,4
38,1,1,g8,0,8,18,0,17,4
38,1,1,g9,0,9,18,0,17,4
39,16,1,g2,0,5,18,1,49,4
39,16,1,g3,0,6,11,0,8,4
39,16,1,g5,0,7,24,1,52,4
39,16,1,g8,0,8,4,0,19,4
39,16,1,g9,0,9,4,0,19,4
40,26,0,g2,2,0,13,0,46,3
40,26,0,g3,1,1,14,0,27,3
40,26,0,g5,0,2,5,0,6,3
40,26,0,g8,0,3,26,1,42,3
40,26,0,g9,0,4,26,1,42,3
41,5,1,g2,0,5,8,1,50,4
41,5,1,g3,2,6,4,1,24,4
