mode,rep,base_ints,num_exprs,alpha__best_pct_error,alpha__hits_le_1.0,higgs_over_z__best_pct_error,higgs_over_z__hits_le_1.0,omega_lambda__best_pct_error,omega_lambda__hits_le_1.0,cabibbo_deg__best_pct_error,cabibbo_deg__hits_le_1.0,alpha__hits_le_0.1,higgs_over_z__hits_le_0.1,omega_lambda__hits_le_0.1,cabibbo_deg__hits_le_0.1
strict,81,"[24, 13, 10, 17, 3, 29, 9, 4, 20, 7, 28, 177, 107, 154, 381, 3111, 3396]",60000,0.026276703649624464,17,0.1410251238261763,30,0.07639913864983884,27,0.003466084364485431,155,2,0,2,21
strict,82,"[8, 22, 23, 4, 20, 19, 27, 11, 3, 30, 15, 85, 347, 232, 52, 5200, 6546]",60000,0.018283660283047592,19,0.02591697393073076,37,0.09475952798875849,23,0.01223304903911688,35,3,3,1,3
strict,83,"[14, 28, 26, 6, 16, 3, 7, 23, 25, 9, 13, 112, 141, 45, 375, 4675, 3387]",60000,0.026276703649624464,13,0.008278514478062958,52,0.0016128772116523271,28,0.0,107,3,7,1,15
strict,84,"[6, 19, 18, 28, 23, 7, 22, 15, 10, 29, 12, 87, 275, 125, 272, 5133, 2458]",60000,0.026276703649624464,16,0.06051595087566868,38,0.0853987063886831,31,0.0266737796745811,49,2,4,1,5
strict,85,"[29, 18, 24, 23, 6, 20, 13, 12, 28, 2, 10, 63, 391, 185, 243, 1717, 1819]",60000,0.09872793205269216,12,0.12000075718474257,45,0.0717379733706972,29,0.008836375571211964,116,1,0,1,15
strict,86,"[8, 4, 15, 12, 20, 23, 29, 27, 19, 18, 30, 264, 351, 84, 255, 5181, 4286]",60000,0.026276703649624464,18,0.07918159921939337,29,0.0016128772116523271,29,0.014304170865809662,39,1,1,3,6
strict,87,"[12, 7, 14, 9, 24, 4, 3, 17, 2, 29, 26, 162, 95, 128, 53, 1044, 5065]",60000,0.026276703649624464,15,0.00744840025415425,32,0.08289846612810119,24,0.010151285102980925,66,1,4,1,9
strict,88,"[20, 11, 12, 22, 21, 30, 26, 19, 8, 6, 7, 101, 39, 86, 154, 2320, 1854]",60000,0.2132252903489583,17,0.00744840025415425,36,0.029403992243306726,28,0.007967492630060125,52,0,2,2,9
strict,89,"[18, 21, 17, 26, 4, 9, 25, 7, 15, 27, 14, 230, 132, 129, 104, 3608, 1049]",60000,0.017035547265327442,19,0.001895623066924506,18,0.06486296394332816,28,0.0,50,2,2,2,4
strict,90,"[20, 26, 29, 24, 7, 22, 13, 8, 10, 21, 14, 113, 387, 341, 245, 5274, 4437]",60000,0.026276703649624464,19,0.03414868105515438,31,0.036225884352177384,25,0.0062601727807722295,130,1,2,2,21
strict,91,"[28, 14, 5, 2, 10, 11, 19, 30, 6, 17, 15, 354, 186, 195, 95, 1780, 1248]",60000,0.01213584500768488,16,0.0032061908889280863,35,0.02870436360899452,28,0.01223304903911688,65,2,4,2,11
strict,92,"[4, 14, 8, 5, 25, 30, 3, 20, 11, 28, 18, 286, 174, 129, 385, 1780, 1222]",60000,0.026276703649624464,25,0.0032061908889442717,33,0.019735093072970382,34,0.0,87,4,5,2,11
strict,93,"[9, 6, 13, 4, 5, 16, 2, 17, 24, 28, 10, 363, 359, 370, 201, 6782, 5739]",60000,0.08088627348063222,13,0.04736795117466948,36,0.004281668453167794,22,0.01223304903911688,118,2,3,1,24
strict,94,"[24, 10, 19, 6, 7, 20, 14, 3, 4, 16, 26, 160, 185, 111, 351, 2520, 1922]",60000,0.026276703649624464,19,0.00744840025415425,33,0.05598988034755735,18,0.01179801793298177,67,3,4,2,9
