u,v,gen,cocycle_Z3_exp,qid_u,qid_v,x_u,y_u,z_u,x_v,y_v,z_v
30,45,g9,2,9,22,2,1,2,2,0,0
31,44,g2,0,0,7,0,0,0,0,0,2
31,28,g3,1,0,3,0,0,0,0,2,1
31,26,g5,2,0,12,0,0,0,1,0,0
31,12,g8,0,0,19,0,0,0,1,1,2
31,12,g9,0,0,19,0,0,0,1,1,2
32,13,g2,1,25,22,2,0,1,2,0,0
32,23,g3,2,25,24,2,0,1,2,0,2
32,5,g5,1,25,6,2,0,1,0,0,1
32,33,g8,0,25,17,2,0,1,2,1,0
32,33,g9,0,25,17,2,0,1,2,1,0
33,15,g2,1,17,9,2,1,0,2,1,2
33,25,g3,2,17,23,2,1,0,2,1,1
33,38,g5,1,17,1,2,1,0,0,1,0
33,32,g8,0,17,25,2,1,0,2,0,1
33,32,g9,0,17,25,2,1,0,2,0,1
34,9,g2,0,1,2,0,1,0,0,1,2
34,5,g3,0,1,6,0,1,0,0,0,1
34,37,g5,1,1,21,0,1,0,1,1,0
34,49,g8,0,1,18,0,1,0,1,0,1
34,49,g9,0,1,18,0,1,0,1,0,1
35,10,g2,0,10,15,1,2,2,1,2,1
35,17,g3,2,10,18,1,2,2,1,0,1
35,46,g5,2,10,13,1,2,2,2,2,2
35,50,g8,0,10,8,1,2,2,0,2,2
35,50,g9,0,10,8,1,2,2,0,2,2
36,11,g2,0,10,15,1,2,2,1,2,1
36,49,g3,0,10,18,1,2,2,1,0,1
36,47,g5,2,10,13,1,2,2,2,2,2
36,16,g8,0,10,8,1,2,2,0,2,2
36,16,g9,0,10,8,1,2,2,0,2,2
37,12,g2,0,21,19,1,1,0,1,1,2
37,35,g3,1,21,10,1,1,0,1,2,2
37,48,g5,2,21,17,1,1,0,2,1,0
37,51,g8,0,21,6,1,1,0,0,0,1
37,51,g9,0,21,6,1,1,0,0,0,1
38,14,g2,0,1,2,0,1,0,0,1,2
38,51,g3,0,1,6,0,1,0,0,0,1
38,18,g5,0,1,21,0,1,0,1,1,0
38,17,g8,0,1,18,0,1,0,1,0,1
38,17,g9,0,1,18,0,1,0,1,0,1
39,49,g2,0,16,18,1,0,2,1,0,1
39,8,g3,0,16,11,1,0,2,1,1,1
39,52,g5,0,16,24,1,0,2,2,0,2
39,19,g8,0,16,4,1,0,2,0,1,1
39,19,g9,0,16,4,1,0,2,0,1,1
40,46,g2,2,26,13,2,2,0,2,2,2
40,27,g3,1,26,14,2,2,0,2,2,1
40,6,g5,0,26,5,2,2,0,0,2,0
40,42,g8,0,26,26,2,2,0,2,2,0
40,42,g9,0,26,26,2,2,0,2,2,0
41,50,g2,0,5,8,0,2,0,0,2,2
41,24,g3,2,5,4,0,2,0,0,1,1
41,21,g5,0,5,20,0,2,0,1,2,0
41,20,g8,0,5,20,0,2,0,1,2,0
41,20,g9,0,5,20,0,2,0,1,2,0
