edge_index,word_len,word,v_i,v_j,root_index,root_coords,we6_orbit_id,we6_orbit_size
124,4,"(0, 1, 5, 7)",12,18,74,"(0, 0, 0, -2, 2, 0, 0, 0)",3,72
70,4,"(0, 4, 1, 1)",6,27,152,"(-1, -1, -1, -1, 1, -1, 1, -1)",1,27
63,4,"(0, 4, 1, 2)",5,39,144,"(1, -1, -1, -1, -1, -1, 1, -1)",1,27
73,4,"(0, 4, 1, 3)",6,35,177,"(-1, 1, -1, -1, -1, -1, -1, 1)",3,72
126,4,"(0, 4, 1, 4)",12,23,50,"(0, -2, 0, 0, 0, 0, 0, 2)",2,27
59,4,"(0, 4, 1, 8)",5,26,63,"(0, 0, -2, 0, 0, -2, 0, 0)",1,27
52,4,"(0, 4, 2, 7)",4,37,39,"(0, -2, 0, 0, -2, 0, 0, 0)",3,72
151,4,"(0, 4, 5, 6)",15,35,206,"(1, -1, 1, 1, 1, 1, -1, 1)",4,27
113,4,"(0, 4, 5, 7)",10,39,129,"(-1, 1, -1, -1, -1, 1, -1, -1)",6,27
78,4,"(0, 5, 0, 0)",7,20,41,"(0, 2, 0, 0, 0, -2, 0, 0)",1,27
192,4,"(0, 5, 0, 2)",21,31,201,"(-1, 1, -1, -1, 1, 1, -1, 1)",4,27
173,4,"(0, 5, 0, 3)",18,39,170,"(-1, -1, 1, -1, 1, 1, 1, -1)",3,72
97,4,"(0, 5, 0, 4)",9,17,54,"(0, 0, -2, 2, 0, 0, 0, 0)",3,72
178,4,"(0, 5, 0, 5)",19,30,183,"(-1, 1, 1, 1, -1, -1, -1, 1)",3,72
189,4,"(0, 5, 0, 6)",21,25,197,"(-1, 1, -1, 1, -1, 1, -1, 1)",4,27
186,4,"(0, 5, 0, 7)",20,34,194,"(1, -1, 1, -1, -1, 1, -1, 1)",4,27
162,4,"(0, 5, 0, 8)",17,28,156,"(1, -1, -1, 1, 1, -1, 1, -1)",1,27
121,4,"(0, 5, 3, 1)",11,35,26,"(-2, 0, 0, 0, 0, 0, 0, 2)",2,27
25,4,"(0, 5, 3, 5)",2,32,100,"(0, 0, 0, 0, 0, 2, 2, 0)",2,27
148,4,"(0, 5, 3, 6)",15,29,199,"(1, 1, 1, 1, -1, 1, -1, 1)",4,27
109,4,"(0, 5, 3, 7)",10,27,121,"(-1, 1, -1, -1, 1, -1, -1, -1)",0,27
88,4,"(0, 5, 4, 1)",8,20,53,"(0, 0, 2, -2, 0, 0, 0, 0)",3,72
143,4,"(0, 5, 4, 6)",14,27,171,"(1, 1, 1, -1, 1, 1, 1, -1)",3,72
81,4,"(0, 5, 4, 7)",7,29,23,"(-2, 0, 0, 0, 0, 0, -2, 0)",6,27
144,4,"(0, 5, 5, 6)",14,37,173,"(1, 1, -1, 1, 1, 1, 1, -1)",3,72
77,4,"(0, 5, 5, 7)",7,17,38,"(0, -2, 0, 0, 2, 0, 0, 0)",3,72
152,4,"(0, 5, 6, 4)",15,36,207,"(-1, 1, 1, 1, 1, 1, -1, 1)",4,27
